id,name,abs_mag,est_dia_min,est_dia_max,epoch,min_orb_inter,jup_tisser,e,a,i,asc_node_long,peri_arg,orb_period,peri_dist,ap_dist,mean_ano,mean_mot,hazard
2000433,433 Eros (A898 PA),10.43,21.8049440483,48.7573371375,2459600.5,.149124,4.582,.2227273342470533,1.458273100364966,10.82846064209305,304.2963534821116,178.8971619902451,643.2158297959286,1.133475820116491,1.78307038061344,246.9041236220357,.5596877180622503,0
2000719,719 Albert (A911 TB),15.51,2.1016237932,4.6993736648,2459600.5,.202582,3.141,.5469586853330971,2.63750535267235,11.57526970278196,183.8552591536149,156.2275765643465,1564.546413623767,1.194898892415675,4.080111812929026,278.1971857577304,.2300986387269753,0
2000887,887 Alinda (A918 AA),13.87,4.4725476543,10.0009205877,2459600.5,.0815318,3.221,.5704858457583049,2.473158048926867,9.394142627941887,110.4288007424078,350.4932415069014,1420.614468767403,1.062256387690864,3.88405971016287,86.60720969776338,.2534114694132,0
2001036,1036 Ganymed (A924 UB),9.25,37.5452479361,83.9537266171,2459600.5,.345327,3.034,.5331216204494151,2.665849369142196,26.67790340485676,215.5172093583409,132.4281002256311,1589.834205068817,1.244627433591057,4.087071304693334,140.6548420385441,.2264387059054482,0
2001221,1221 Amor (1932 EA1),17.39,0.8842090927,1.9771516375,2459600.5,.106445,3.782,.4358425037702864,1.918731194899893,11.88326264445768,171.320253219285,26.64392069638918,970.7773423658959,1.08246658685257,2.754995802947215,261.0445055510584,.3708368379536327,0
2001566,1566 Icarus (1949 MA),16.35,1.4274305148,3.1918316641,2459600.5,.0341948,5.298,.8269435773988872,1.078092896249167,22.80421609750081,87.96160578064956,31.43750761745641,408.8676060880119,.1865708998565535,1.969614892641781,.3302900481594904,.8804806119135474,1
2001580,1580 Betulia (1950 KA),14.69,3.0658787593,6.8555133165,2459600.5,.137624,3.066,.4871550690589618,2.197288160959855,52.07925829047207,62.2921305585828,159.5134530240992,1189.676684995107,1.126868095165017,3.267708226754692,16.62891169416756,.3026032236661684,0
2001620,1620 Geographos (1951 RA),15.29,2.3257068746,5.2004386672,2459600.5,.0309188,5.074,.3353623815697835,1.245689288373681,13.33753650266853,337.1849252916426,276.9463790532878,507.8237659808625,.8279319619287149,1.663446614818648,300.4925456836891,.7089073495893981,1
2001627,1627 Ivar (1929 SH),12.67,7.7723970203,17.3796080855,2459600.5,.113019,3.879,.3967369931662227,1.863273429682043,8.45195671392556,133.1203094014342,167.8035825450434,928.994864711095,1.124043931743474,2.602502927620612,129.0289785708619,.3875155974214725,0
2001685,1685 Toro (1948 OA),14.34,3.602093458,8.0545258335,2459600.5,.0507936,4.715,.4359667905520778,1.367465568913136,9.382739662942356,274.2362441047769,127.2114688959447,584.0809302064421,.7712959936436048,1.963635144182667,300.0617969897936,.6163529425156182,0
2001862,1862 Apollo (1932 HA),16.1,1.6016033798,3.5812940302,2459600.5,.0259307,4.414,.5600430480389081,1.470502475619857,6.353083657519373,35.56898602093121,286.038663056494,651.3239782383148,.6469577870249521,2.294047164214762,60.2023759418727,.5527203235688009,1
2001863,1863 Antinous (1948 EA),15.4,2.2108281036,4.9435619262,2459600.5,.184009,3.298,.6059920366929147,2.25922922966352,18.39886422664638,346.4237098245764,268.0896471241496,1240.334644119118,.8901543074235589,3.628304151903481,244.0101430178307,.2902442511840593,0
2001864,1864 Daedalus (1971 FA),14.72,3.0238133257,6.7614521476,2459600.5,.269387,4.336,.6144866009101421,1.460979692340061,22.21536436105565,6.613194600666401,325.656372641032,645.0073978694489,.563227247195272,2.35873213748485,196.1166698113117,.5581331333394488,0
2001865,1865 Cerberus (1971 UA),16.73,1.1982708007,2.6794149658,2459600.5,.156594,5.592,.4669721853627833,1.079986459102165,16.09858913142916,212.8963846262228,325.2653259462633,409.9452818233081,.575662822133013,1.584310096071318,170.2073776830536,.878165979612774,0
2001866,1866 Sisyphus (1972 XA),12.44,8.6408203645,19.3214617164,2459600.5,.103815,3.513,.5383695942591612,1.89335380247612,41.20637430563836,63.47259682918818,293.0824330783437,951.581721245185,.8740296840480111,2.912677920904228,331.1476239669076,.3783174812657443,0
2001915,1915 Quetzalcoatl (1953 EA),18.97,0.4271249851,0.9550805015,2459600.5,.108268,3.122,.5706410666538692,2.543790754476287,20.40472660837776,162.9348721741076,347.8091351438147,1481.905478725935,1.092199284997688,3.995382223954886,41.39145147165023,.2429304737502618,0
2001916,1916 Boreas (1953 RA),14.88,2.8090209395,6.2811617709,2459600.5,.252786,3.441,.4498393843545402,2.272324177654492,12.88297395753911,340.5981620509438,335.9167764169206,1251.134099793575,1.250143268524458,3.294505086784526,352.2401365952544,.2877389402617965,0
2001917,1917 Cuyo (1968 AA),14.32,3.6354232184,8.1290534434,2459600.5,.0736189,3.434,.5054666606212171,2.149811212363563,23.95922693078182,188.2869783157617,194.5115030209525,1151.327590639673,1.063153317884102,3.236469106843023,82.28439222316166,.3126825092413406,0
2001943,1943 Anteros (1973 EC),15.65,1.9704026214,4.4059542044,2459600.5,.0631189,4.640,.2560374830368109,1.430366783226916,8.706034961947852,246.3110705715728,338.3801327667292,624.8410464851386,1.064139272230037,1.796594294223795,173.8814284348046,.5761465288253312,0
2001980,1980 Tezcatlipoca (1950 LA),13.8,4.6190746028,10.328564805,2459600.5,.245414,3.996,.3648359123967504,1.709370985747121,26.8689695764886,246.560199388918,115.4661353995156,816.3058691850823,1.085731062537538,2.333010908956705,314.1597421163634,.4410111621020045,0
2001981,1981 Midas (1973 EA),15.22,2.4019003012,5.3708123486,2459600.5,.00422617,3.611,.6501354173869655,1.776435963778408,39.82986428921579,356.856989856008,267.8286153951093,864.8141007093574,.6215120270061165,2.9313599005507,202.5329806831698,.4162744336669726,1
2002059,2059 Baboquivari (1963 UA),15.97,1.7004151927,3.8022439609,2459600.5,.247142,3.154,.5314323108535624,2.643241212751252,11.0205546334234,200.6851154492385,192.4190584133976,1569.65288471871,1.238537426915482,4.047944998587023,181.8930082472297,.2293500706460421,0
2002061,2061 Anza (1960 UA),16.36,1.4208720673,3.1771665298,2459600.5,.0557171,3.409,.5360981217114927,2.264279343476608,3.800349706160866,207.3741353983842,157.0286649770264,1244.495795736632,1.050403440408666,3.478155246544549,354.1526556258232,.2892737775678154,0
2002062,2062 Aten (1976 AA),17.1,1.0105434154,2.2596437711,2459600.5,.113334,6.183,.1827720931291991,.9669087478156669,18.9345273941421,108.5428491298942,148.0586126391113,347.2775116330888,.7901848121124645,1.143632683518869,21.46549438015371,1.036634932987982,0
2002063,2063 Bacchus (1977 HB),17.28,0.930154254,2.0798881414,2459600.5,.0672437,5.668,.3494140546639052,1.078100168933574,9.431207240007824,33.0725288431165,55.37732689376752,408.871743352187,.7013968175726528,1.454803520294496,82.01897205660303,.8804717025649516,0
